team_logo,team_name,username,yyb_wins,yyb_draws,yyb_high_score,slsl_wins,slsl_high_score,msn_plays,msn_high_score,sosd_plays,sosd_high_score,total_score,rank,last_updated
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,nostalgia,120,0,1388,12,1346,1084,8021,1210,1184,8682,All-Star,"8/5/2024, 12:56:08 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,zilaena,116,0,1044,208,529,43,4083,997,808,6824,All-Star,"8/5/2024, 12:56:12 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,classicmess,138,0,1222,10,306,260,7468,1100,1176,6112,All-Star,"8/5/2024, 12:56:16 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,orlytheowl,107,0,888,41,741,1,1275,1210,1182,5541,All-Star,"8/5/2024, 12:56:20 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,ckgknyangel,66,0,554,3,477,390,6150,1003,1186,5133,All-Star,"8/5/2024, 12:56:23 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,honorrolle,109,0,1111,49,937,355,6203,771,1186,5394,All-Star,"8/5/2024, 12:56:27 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,superkathiee,116,0,924,40,1367,255,6428,782,1179,5135,All-Star,"8/5/2024, 12:56:31 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,lennekegirl123,5,0,39,25,722,305,6401,1243,1192,4964,All-Star,"8/5/2024, 12:56:35 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,d_a_r_e,58,0,649,0,0,442,6187,943,1162,4967,All-Star,"8/5/2024, 12:56:39 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,catchinglights,14,1,131,15,345,50,4073,1210,1180,4126,Level 17,"8/5/2024, 12:56:44 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,aangchan,145,0,661,19,1095,350,6181,280,1173,4110,Level 17,"8/5/2024, 12:56:47 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,scizor07,62,0,437,10,416,0,0,1110,1185,4298,Level 18,"8/5/2024, 12:56:49 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,justiquen,70,0,707,15,824,125,6695,884,1189,4157,Level 17,"8/5/2024, 12:56:53 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,juliadoglover11405,3,1,16,1,31,81,4136,968,140,3199,Level 14,"8/5/2024, 12:56:56 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,cyancias,42,0,322,55,1111,135,5695,485,1165,2998,Level 14,"8/5/2024, 12:57:00 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,eleganza_lights,102,0,944,1,324,1,4082,489,1187,2908,Level 14,"8/5/2024, 12:57:12 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,kio______lake,65,0,567,10,322,5,4591,363,1180,2114,Level 11,"8/5/2024, 12:57:17 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,beckyx191,70,0,542,20,1215,70,6035,175,1165,1915,Level 10,"8/5/2024, 12:57:20 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,polarnights,81,0,853,0,0,52,5711,200,1178,1890,Level 10,"8/5/2024, 12:57:23 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,mbug1991,42,0,203,10,660,100,5266,305,1173,1903,Level 10,"8/5/2024, 12:57:26 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,nurnurnur199,0,0,0,0,0,0,0,614,1176,1842,Level 10,"8/5/2024, 12:57:31 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,hunni_bun_137,8,0,43,1,778,23,5966,434,1167,1493,Level 9,"8/5/2024, 12:57:33 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,tinyroses18,32,0,248,0,0,30,3602,310,140,1468,Level 8,"8/5/2024, 12:57:36 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,idlegoth,0,0,0,27,954,0,0,441,1162,1593,Level 9,"8/5/2024, 12:57:38 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,hilary_duff_fan_16,29,0,176,0,0,25,2994,301,105,1384,Level 8,"8/5/2024, 12:57:40 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,angel709317,59,0,356,67,519,14,5107,1,105,1541,Level 9,"8/5/2024, 12:57:47 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,midnightswish,48,1,266,30,685,28,5173,96,1173,1344,Level 8,"8/5/2024, 12:57:49 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,goosesticks,11,0,75,6,363,93,5153,289,920,1360,Level 8,"8/5/2024, 12:57:52 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,nella_fantasia,33,0,221,35,741,40,4925,40,1131,1052,Level 7,"8/5/2024, 12:58:00 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,elhiwe,54,0,435,0,0,37,7551,0,0,867,Level 6,"8/5/2024, 12:58:02 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,atritas,4,0,18,49,742,85,5446,0,0,801,Level 5,"8/5/2024, 12:58:04 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,sosunub,0,0,0,16,856,80,6395,70,1205,610,Level 4,"8/5/2024, 12:58:08 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,ris1994,11,0,73,3,488,26,4896,108,1120,586,Level 4,"8/5/2024, 12:58:12 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,claimedxscribblez,0,0,0,4,696,70,5367,44,1128,382,Level 2,"8/5/2024, 12:58:15 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,gamemaster32792,25,2,120,1,684,3,3900,1,688,372,Level 3,"8/5/2024, 12:58:17 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,_new_cassalla_,9,0,36,0,0,15,5424,72,1157,387,Level 3,"8/5/2024, 12:58:21 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,painted_neo_faerie,10,2,36,0,0,3,2378,46,1117,287,Level 2,"8/5/2024, 12:58:24 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,howlsilver,13,0,80,2,584,11,4830,9,713,262,Level 2,"8/5/2024, 12:58:28 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,macosten,0,0,0,0,0,1,4432,41,1189,126,Level 1,"8/5/2024, 12:58:33 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,mizsango,0,0,0,0,0,0,0,0,0,0,Beginner,"8/5/2024, 12:58:35 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,puppylover9161,0,0,0,0,0,0,0,0,0,0,Beginner,"8/5/2024, 12:58:40 PM"
