team_logo,team_name,username,yyb_wins,yyb_draws,yyb_high_score,slsl_wins,slsl_high_score,msn_plays,msn_high_score,sosd_plays,sosd_high_score,total_score,rank,last_updated
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,nostalgia,551,0,6645,61,1408,3146,9176,4598,1205,31556,All-Star,"8/25/2024, 7:46:17 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,zilaena,361,0,3298,733,2157,80,5785,3401,1136,22827,All-Star,"8/25/2024, 7:46:24 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,catchinglights,198,1,1968,51,693,83,5258,4598,1183,17325,All-Star,"8/25/2024, 7:46:33 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,honorrolle,354,0,3798,57,937,405,6203,3360,1187,16821,All-Star,"8/25/2024, 7:46:36 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,lennekegirl123,5,0,39,40,722,355,6401,4631,1198,15428,All-Star,"8/25/2024, 7:46:43 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,scizor07,62,0,437,10,416,0,0,4605,1186,14783,All-Star,"8/25/2024, 7:46:46 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,justiquen,190,0,2027,51,824,425,6695,3417,1189,14696,All-Star,"8/25/2024, 7:46:49 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,aangchan,551,0,2879,65,1292,725,8565,755,1183,12804,All-Star,"8/25/2024, 7:46:52 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,ckgknyangel,67,0,562,11,700,1117,6845,2344,1195,11431,All-Star,"8/25/2024, 7:46:56 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,orlytheowl,166,0,1395,55,741,4,5664,1949,1184,8733,All-Star,"8/25/2024, 7:47:04 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,juliadoglover11405,3,1,16,1,31,81,4136,2647,1142,8236,All-Star,"8/25/2024, 7:47:08 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,nurnurnur199,0,0,0,0,0,0,0,2724,1188,8172,All-Star,"8/25/2024, 7:47:10 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,cyancias,150,0,1474,164,1232,200,6586,932,1181,7136,All-Star,"8/25/2024, 7:47:14 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,goosesticks,76,0,621,19,829,277,6655,1665,1184,7080,All-Star,"8/25/2024, 7:47:17 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,nella_fantasia,200,0,1549,200,741,200,8154,200,1154,6000,All-Star,"8/25/2024, 7:47:20 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,mbug1991,90,0,483,23,840,400,6517,1000,1184,5690,All-Star,"8/25/2024, 7:47:25 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,angel709317,292,0,2151,144,519,14,5107,19,1065,5627,All-Star,"8/25/2024, 7:47:28 PM"
