team_logo,team_name,username,yyb_wins,yyb_draws,yyb_high_score,slsl_wins,slsl_high_score,msn_plays,msn_high_score,sosd_plays,sosd_high_score,total_score,rank,last_updated
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,superkathiee,162,0,1272,72,1367,400,6428,1255,1188,7953,All-Star,"8/9/2024, 7:09:14 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,classicmess,223,0,1957,10,306,301,7468,1928,1180,9909,All-Star,"8/9/2024, 7:09:17 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,nostalgia,232,0,2694,12,1346,1936,9176,1946,1204,15014,All-Star,"8/9/2024, 7:09:19 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,d_a_r_e,87,0,990,0,0,684,6187,1694,1178,8352,All-Star,"8/9/2024, 7:09:21 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,zilaena,132,0,1213,208,529,43,4083,1281,1136,7900,All-Star,"8/9/2024, 7:09:28 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,catchinglights,87,1,836,24,345,83,5258,1936,1180,7515,All-Star,"8/9/2024, 7:09:31 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,lennekegirl123,5,0,39,35,722,355,6401,2069,1193,7692,All-Star,"8/9/2024, 7:09:34 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,honorrolle,129,0,1321,49,937,355,6203,1061,1186,6544,All-Star,"8/9/2024, 7:09:42 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,justiquen,100,0,1033,24,824,200,6695,1608,1189,7064,All-Star,"8/9/2024, 7:09:44 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,aangchan,237,0,1153,40,1240,550,8565,550,1183,7018,All-Star,"8/9/2024, 7:09:48 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,scizor07,62,0,437,10,416,0,0,1943,1185,6797,All-Star,"8/9/2024, 7:09:50 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,juliadoglover11405,3,1,16,1,31,81,4136,1649,908,5242,All-Star,"8/9/2024, 7:09:54 AM"
