team_logo,team_name,username,yyb_wins,yyb_draws,yyb_high_score,slsl_wins,slsl_high_score,msn_plays,msn_high_score,sosd_plays,sosd_high_score,total_score,rank,last_updated
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,lennekegirl123,5,0,39,35,722,355,6401,2453,1197,8844,All-Star,"8/11/2024, 12:07:05 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,scizor07,62,0,437,10,416,0,0,2427,1186,8249,All-Star,"8/11/2024, 12:07:15 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,hilary_duff_fan_16,29,0,176,0,0,25,2994,301,105,1384,Level 8,"8/11/2024, 12:08:19 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,nostalgia,290,0,3411,13,1346,2420,9176,2420,1204,18710,All-Star,"8/11/2024, 4:03:34 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,classicmess,246,0,2183,10,306,301,7468,2186,1180,11005,All-Star,"8/11/2024, 4:03:45 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,d_a_r_e,87,0,990,0,0,684,6187,1936,1178,9078,All-Star,"8/11/2024, 4:03:47 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,superkathiee,171,0,1339,72,1367,400,6428,1405,1198,8529,All-Star,"8/11/2024, 4:03:51 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,aangchan,290,0,1362,45,1240,600,8565,675,1183,8335,All-Star,"8/11/2024, 4:03:55 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,catchinglights,87,1,836,24,345,83,5258,2178,1180,8241,All-Star,"8/11/2024, 4:03:58 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,orlytheowl,146,0,1226,54,741,4,5664,1849,1184,8143,All-Star,"8/11/2024, 4:04:00 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,zilaena,132,0,1213,208,529,43,4083,1282,1136,7903,All-Star,"8/11/2024, 4:04:12 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,ckgknyangel,67,0,562,10,700,545,6845,1488,1186,7137,All-Star,"8/11/2024, 4:04:14 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,justiquen,100,0,1033,24,824,201,6695,1608,1189,7067,All-Star,"8/11/2024, 4:04:21 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,honorrolle,138,0,1411,49,937,355,6203,1116,1186,6835,All-Star,"8/11/2024, 4:04:24 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,eleganza_lights,271,0,2624,1,324,1,4082,901,1188,6510,All-Star,"8/11/2024, 4:04:26 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,juliadoglover11405,3,1,16,1,31,81,4136,1943,908,6124,All-Star,"8/11/2024, 4:04:28 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,cyancias,129,0,1230,90,1222,200,6586,778,1173,5640,All-Star,"8/11/2024, 4:04:32 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,kio______lake,161,0,1410,15,322,10,4591,850,1187,4984,All-Star,"8/11/2024, 4:04:35 PM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,mbug1991,82,0,442,23,840,315,6517,850,1184,4873,Level 19,"8/11/2024, 4:04:38 PM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,nurnurnur199,0,0,0,0,0,0,0,1439,1184,4317,Level 18,"8/11/2024, 4:04:41 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,goosesticks,26,0,185,8,535,169,6655,1074,1178,4173,Level 17,"8/11/2024, 4:05:17 PM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,angel709317,207,0,1490,110,519,14,5107,19,1065,4097,Level 17,"8/11/2024, 4:05:19 PM"
